AREA;VARIEDADE;DATA DE PODA;DATA DA AMOSTRA;DIAS_POS_PODA;TEXTO DATA;ESTADO DO ENGACO;COLORACAO DO CACHO;BRIX ACIMA DO IDEAL;BRIX DO SUCO;ACIDEZ;BRIX;DIAMETRO
B 11 V 1;SUGRAONE;30/05/2017;09/09/2017;102;09/09/2017;MADURO;¶MBAR;0,28;14;0,5;13,7;
A02 V1 E V2;SUGRAONE;09/06/2017;11/09/2017;94;11/09/2017;VERDE;VERDE;1,66;10;0,69;10;
A02 V1 E V2;SUGRAONE;09/06/2017;11/09/2017;94;11/09/2017;MADURO;VERDE;0,25;12,8;0,52;12,5;
A09 V1;ARRA 15;23/05/2017;11/09/2017;111;11/09/2017;MADURO;VERDE;0,55;17;0,86;16,7;
A09 V1;ARRA 15;23/05/2017;11/09/2017;111;11/09/2017;VERDE;VERDE;0,22;16,2;0,99;15,2;
A09 V2 E V3;ARRA 15;31/05/2017;11/09/2017;103;11/09/2017;MADURO;VERDE;0,07;15;1,14;14,6;
A09 V2 E V3;ARRA 15;31/05/2017;11/09/2017;103;11/09/2017;VERDE;VERDE;0;12,6;1,42;12,5;
B07 V1;SABLE;05/06/2017;11/09/2017;98;11/09/2017;MADURO;PRETA;8,33;15,6;0,73;15;
B07 V2;SABLE;08/06/2017;11/09/2017;95;11/09/2017;VERDE;PRETA;0,05;15;0,86;13,9;
B07 V1;SABLE;05/06/2017;11/09/2017;98;11/09/2017;VERDE;PRETA;0,03;13,6;0,81;13,4;
B07 V2;SABLE;08/06/2017;11/09/2017;95;11/09/2017;MADURO;PRETA;0,12;15,4;0,72;14,9;
A09 V1;ARRA 15;23/05/2017;13/09/2017;113;13/09/2017;;;0,53;17,6;0,89;16,8;
A09 V1;ARRA 15;23/05/2017;13/09/2017;113;13/09/2017;;MANCHADA;0,05;14,2;1,13;13,6;
A09 V1;ARRA 15;23/05/2017;15/09/2017;115;15/09/2017;;MANCHADA;0,65;18;0,85;17,1;
B 11 V 1;SUGRAONE;30/05/2017;15/09/2017;108;15/09/2017;MADURO;¶MBAR;21,6;14;0,48;13,4;
B 13 V1;SUGRAONE;29/05/2017;15/09/2017;109;15/09/2017;MADURO;¶MBAR;0,52;14,6;0,48;14,4;
B 7 V 2;SABLE;08/06/2017;15/09/2017;99;15/09/2017;MADURO;PRETA;0,12;16;0,71;15,4;
B 9 V 2;CRIMSON;23/05/2017;15/09/2017;115;15/09/2017;MADURO;VERMELHA;0,97;17,8;0,72;17,4;
A02 V1 E V2;SUGRAONE;09/06/2017;18/09/2017;101;18/09/2017;VERDE;VERDE;0,03;11,6;0,51;11,5;
A02 V1 E V2;SUGRAONE;09/06/2017;18/09/2017;101;18/09/2017;MADURO;¶MBAR;0,07;13;0,53;13;
A09 V2 E V3;ARRA 15;31/05/2017;18/09/2017;110;18/09/2017;MADURO;¶MBAR;0,23;15,4;1,08;15,5;
A09 V2 E V3;ARRA 15;31/05/2017;18/09/2017;110;18/09/2017;MADURO;VERDE;0,1;14,6;1,12;14,6;
B 7 V 1;SABLE;05/06/2017;18/09/2017;105;18/09/2017;MADURO;PRETA;0,2;16,4;0,64;15,8;
B 7 V 2;SABLE;08/06/2017;18/09/2017;102;18/09/2017;MADURO;PRETA;0,28;16,8;0,65;16;
B15 V2;THOMPSON;02/06/2017;19/09/2017;109;19/09/2017;MADURO;¶MBAR;8,33;15;1;14,5;
B 9 V 1;CRIMSON;29/05/2017;19/09/2017;113;19/09/2017;MADURO;VERMELHA;0,58;16,4;0,85;15,9;
B 9 V 2;CRIMSON;23/05/2017;19/09/2017;119;19/09/2017;MADURO;VERMELHA;0,95;18,2;0,61;17,7;
A09 V4;ARRA 15;06/06/2017;21/09/2017;107;21/09/2017;MADURO;VERDE;0;14,6;1,22;14;
A10 V2;ARRA 15;21/06/2017;22/09/2017;93;22/09/2017;MADURO;VERDE;0;11,1;2;10,8;
A08 V1;THOMPSON;07/06/2017;22/09/2017;107;22/09/2017;MADURO;VERDE;0,03;15;1,23;13,7;
A09 V2;ARRA 15;31/05/2017;22/09/2017;114;22/09/2017;MADURO;¶MBAR;;17;0,82;17,8;
A09 V3;ARRA 15;31/05/2017;22/09/2017;114;22/09/2017;MADURO;¶MBAR;;17;0,86;17,9;
B15 V2;THOMPSON;02/06/2017;22/09/2017;112;22/09/2017;MADURO;¶MBAR;0,2;15,5;0,96;14,7;
B 7 V 1;SABLE;05/06/2017;22/09/2017;109;22/09/2017;MADURO;PRETA;0,65;17;0,57;17,3;
B 7 V 2;SABLE;08/06/2017;22/09/2017;106;22/09/2017;MADURO;PRETA;0,68;16,8;0,6;17;
B 9 V 1;CRIMSON;29/05/2017;22/09/2017;116;22/09/2017;MADURO;VERMELHA;0,67;16;0,75;16,1;
B 9 V 2;CRIMSON;23/05/2017;22/09/2017;122;22/09/2017;MADURO;VERMELHA;1;18;0,6;18,5;
A09 V2;ARRA 15;31/05/2017;25/09/2017;117;25/09/2017;MADURO;¶MBAR;0,77;18;0,86;17,6;
A09 V3;ARRA 15;31/05/2017;25/09/2017;117;25/09/2017;MADURO;¶MBAR;0,3;17,6;0,9;16;
A09 V4;ARRA 15;06/06/2017;25/09/2017;111;25/09/2017;MADURO;¶MBAR;0,08;16;1;14,8;
B05 V2;CRIMSON;10/05/2017;25/09/2017;138;25/09/2017;MADURO;MESCLADA;0,42;17,2;0,6;17,5;
B 7 V 2;SABLE;14/06/2017;25/09/2017;103;25/09/2017;MADURO;PRETA;0,6;17;0,67;16,9;
B 7 V 2;SABLE;14/06/2017;25/09/2017;103;25/09/2017;MADURO;PRETA;0,75;17,2;0,6;17,5;
A08 V2;THOMPSON;07/06/2017;28/09/2017;113;28/09/2017;MADURO;¶MBAR;0,15;16;0,96;15,1;
A11 V1;MIDNIGHT;20/06/2017;29/09/2017;101;29/09/2017;MADURO;PRETA;0,12;15,2;0,78;14,2;
A11 V2;MIDNIGHT;20/06/2017;29/09/2017;101;29/09/2017;MADURO;PRETA;0,13;16;0,75;14,5;
A08 V1;THOMPSON;07/06/2017;29/09/2017;114;29/09/2017;MADURO;¶MBAR;0,33;16,8;0,97;16,1;
B15 V1;THOMPSON;05/06/2017;29/09/2017;116;29/09/2017;MADURO;¶MBAR;0,27;16;0,84;15,4;
B15 V2;THOMPSON;01/06/2017;29/09/2017;120;29/09/2017;MADURO;¶MBAR;0,18;16,8;0,81;15,4;
A02 V3 ;SUGRAONE;26/06/2017;02/10/2017;98;02/10/2017;MADURO;¶MBAR;;14;0,62;13,6;
A02 V4;SUGRAONE;26/06/2017;02/10/2017;98;02/10/2017;MADURO;¶MBAR;28,33;14,2;0,66;13,9;
A10 V1;ARRA 15;19/06/2017;02/10/2017;105;02/10/2017;MADURO;VERDE;0,05;14;1,45;13,2;
A10 V2;ARRA 15;19/06/2017;02/10/2017;105;02/10/2017;MADURO;VERDE;0,07;13,4;1,41;12,9;
A09 V4;ARRA 15;06/06/2017;02/10/2017;118;02/10/2017;MADURO;¶MBAR;0,9;18,2;0,92;18,5;
A05 V1 E V2;SUGRAONE;28/06/2017;03/10/2017;97;03/10/2017;MADURO;¶MBAR;43,33;15;0,65;14,5;
A05 V3 E V4;SUGRAONE;28/06/2017;03/10/2017;97;03/10/2017;MADURO;¶MBAR;5;13;0,65;12,5;
B 9 V 2;CRIMSON;23/05/2017;04/10/2017;134;04/10/2017;MADURO;VERMELHA;1;21;0,57;20,1;
B 9 V 2;CRIMSON;23/05/2017;04/10/2017;134;04/10/2017;MADURO;ROSADA;0,98;19;0,59;18,1;
A11 V1;MIDNIGHT;20/06/2017;05/10/2017;107;05/10/2017;MADURO;PRETA;0,42;16,2;0,62;15,7;
A11 V2;MIDNIGHT;20/06/2017;05/10/2017;107;05/10/2017;MADURO;PRETA;0,45;16,4;0,59;15,4;
A08 V1;THOMPSON;07/06/2017;05/10/2017;120;05/10/2017;MADURO;¶MBAR;0,63;18,2;0,83;17,2;
A08 V2;THOMPSON;07/06/2017;05/10/2017;120;05/10/2017;MADURO;¶MBAR;0,42;17,8;0,87;16,6;
A10 V1;ARRA 15;19/06/2017;09/10/2017;112;09/10/2017;MADURO;¶MBAR;0,12;16;1,07;14,8;
A10 V2; ARRA 15;19/06/2017;09/10/2017;112;09/10/2017;MADURO;¶MBAR;3,33;15;1,23;13,8;
A11 V1;MIDNIGHT;20/06/2017;09/10/2017;111;09/10/2017;MADURO;PRETA;0,8;17;0,59;17;
A11 V2;MIDNIGHT;20/06/2017;09/10/2017;111;09/10/2017;MADURO;PRETA;61,66;17,4;0,6;16,3;
B16 V1;THOMPSON;13/06/2017;10/10/2017;119;10/10/2017;MADURO;¶MBAR;0,7;18,6;0,84;17,2;
B16 V2;THOMPSON;13/06/2017;10/10/2017;119;10/10/2017;MADURO;¶MBAR;0,78;19;0,88;18;
B04 V2;CRIMSON;12/06/2017;10/10/2017;120;10/10/2017;MADURO;VERMELHA;1;19,4;0,89;18,9;
B 9 V 1;CRIMSON;29/05/2017;10/10/2017;134;10/10/2017;MADURO;ROSADA;0,97;18;0,67;17,6;
B03 V2;CRIMSON;19/06/2017;11/10/2017;114;11/10/2017;MADURO;VERMELHA;96.6%;19,2;0,87;18,2;
A10 V1;ARRA 15;19/06/2017;12/10/2017;115;12/10/2017;MADURO;¶MBAR;0,27;16,1;0,95;17,2;
A10 V2;ARRA 15;19/06/2017;12/10/2017;115;12/10/2017;MADURO;¶MBAR;0,2;17;1;15,6;
A11 V1;MIDNIGHT;20/06/2017;12/10/2017;114;12/10/2017;MADURO;PRETA;0,77;17,8;0,52;16,8;
A11 V2;MIDNIGHT;20/06/2017;12/10/2017;114;12/10/2017;MADURO;PRETA;0,7;17;0,53;16,5;
B16 V2;THOMPSON;13/06/2017;12/10/2017;121;12/10/2017;MADURO;¶MBAR;0,65;18,6;0,82;17,5;
B16 V1;THOMPSON;13/06/2017;12/10/2017;121;12/10/2017;MADURO;¶MBAR;0,75;18,6;0,8;17,7;
B03 V2;CRIMSON;19/06/2017;13/10/2017;116;13/10/2017;MADURO;VERMELHA;0,98;18,7;0,77;19,2;
B04 V2;CRIMSON;12/06/2017;13/10/2017;123;13/10/2017;MADURO;VERMELHA;0,98;20;0,85;18,9;
B06 V1;ARRA 15;29/06/2017;13/10/2017;106;13/10/2017;MADURO;¶MBAR;0,18;17,2;1,2;15,3;
B06 V2;ARRA 15;29/06/2017;13/10/2017;106;13/10/2017;MADURO;¶MBAR;0,07;17,2;1;15,2;
A10 V1;ARRA 15;19/06/2017;16/10/2017;119;16/10/2017;MADURO;¶MBAR;1;19;0,92;19,1;
A10 V2;ARRA 15;19/06/2017;16/10/2017;119;16/10/2017;MADURO;¶MBAR;0,98;19;0,94;18,9;
B06 V1;ARRA 15;29/06/2017;16/10/2017;109;16/10/2017;MADURO;¶MBAR;0,95;18,8;1,11;19,2;
B06 V2;ARRA 15;29/06/2017;16/10/2017;109;16/10/2017;MADURO;¶MBAR;0,92;18;1,17;18,5;
B03 V1;CRIMSON;19/06/2017;16/10/2017;119;16/10/2017;MADURO;VERMELHA;1;20,8;0,84;20,7;
B03 V2;CRIMSON;19/06/2017;16/10/2017;119;16/10/2017;MADURO;VERMELHA;1;19,8;0,82;20;
A01 V1;CRIMSON;26/06/2017;19/10/2017;115;19/10/2017;MADURO;VERMELHA;0,58;17,4;0,77;16;
B 08 V1;ARRA 15;03/07/2017;19/10/2017;108;19/10/2017;MADURO;¶MBAR;0,25;17;0,99;15,5;
B 08 V2;ARRA 15;03/07/2017;19/10/2017;108;19/10/2017;MADURO;¶MBAR;0,63;17,2;1,12;17,3;
A01 V1;CRIMSON;26/06/2017;23/10/2017;119;23/10/2017;MADURO;VERMELHA;0,83;17,4;0,76;16,9;
B04 V1;CRIMSON;27/06/2017;23/10/2017;118;23/10/2017;MADURO;VERMELHA;0,95;18;0,97;17,4;
B08 V1;ARRA 15;03/07/2017;23/10/2017;112;23/10/2017;MADURO;¶MBAR;0,92;18;0,93;18,4;
B08 V2;ARRA 15;03/07/2017;23/10/2017;112;23/10/2017;MADURO;¶MBAR;0,82;17;1;17,6;
 B 2 V 1;BENITAKA M;10/07/2017;01/11/2017;114;01/11/2017;MADURO;VERMELHA;0,88;15,6;0,97;15,1;
B 2 V 2;BENITAKA M;10/07/2017;01/11/2017;114;01/11/2017;MADURO;VERMELHA;0,38;14,6;1,05;13,6;
B 2 V 1;BENITAKA M;10/07/2017;06/11/2017;119;06/11/2017;MADURO;VERMELHA;0,95;15,8;0,82;15,4;
B 2 V 2;BENITAKA M;10/07/2017;06/11/2017;119;06/11/2017;MADURO;VERMELHA;0,97;15,2;0,91;15,8;
B 1 V 1;BENITAKA M;17/07/2017;07/11/2017;113;07/11/2017;MADURO;VERMELHA;0,8;15;0,88;14,9;
A14 V1;BENITAKA M;15/08/2017;22/11/2017;99;22/11/2017;MADURO;VERMELHA;0,93;16;0,93;15,5;
A14 V2;BENITAKA M;01/08/2017;22/11/2017;113;22/11/2017;MADURO;VERMELHA;0,77;15;0,87;14,9;
B17 V1;ARRA 15;28/08/2017;04/12/2017;98;04/12/2017;MADURO;¶MBAR;;20;18,8;0,9;
B17 V2;ARRA 15;28/08/2017;04/12/2017;98;04/12/2017;MADURO;¶MBAR;;19;18,1;0,95;
A03 V1;ARRA 15;31/08/2017;12/12/2017;103;12/12/2017;MADURO;¶MBAR;0,82;18,6;0,82;17,8;
A03 V2;ARRA 15;31/08/2017;12/12/2017;103;12/12/2017;MADURO;¶MBAR;0,68;17,8;0,8;17,2;
A03 V3;ARRA 15;31/08/2017;12/12/2017;103;12/12/2017;MADURO;¶MBAR;0,55;16,8;0,89;16,8;
A03 V4;ARRA 15;31/08/2017;12/12/2017;103;12/12/2017;MADURO;¶MBAR;0,58;17,6;0,92;17;
